hour,Z00,Z01,Z02,Z03,Z04
1806,570.61,610.71,889.47,819.11,585.16
1807,635.34,670.92,987.29,887.99,637.09
1808,659.2,698.31,1021.5,914.68,662.11
1809,682.11,713.36,1042.9,913.0,670.39
1810,683.32,732.22,1046.43,920.0,667.81
1811,700.63,738.82,1043.84,928.11,671.0
1812,694.67,743.37,1049.25,916.41,668.31
1813,685.77,749.4,1045.26,917.75,645.65
1814,702.76,757.86,1043.86,916.44,655.24
1815,712.4,753.16,1039.8,921.97,679.88
1816,733.88,764.79,1070.57,927.08,678.22
1817,788.71,781.51,1111.8,973.45,709.77
1818,819.17,821.23,1143.24,994.22,733.44
1819,803.15,813.09,1135.57,969.46,724.29
1820,774.09,773.28,1085.97,957.16,687.65
1821,713.84,724.14,1000.03,887.49,637.12
1822,666.78,659.08,930.68,822.28,594.96
1823,618.49,608.91,847.73,772.37,545.92
1824,577.18,569.51,794.25,735.63,516.03
1825,544.21,548.81,745.51,687.71,499.08
1826,530.81,537.1,720.46,679.13,492.13
1827,523.35,530.14,699.05,673.54,479.42
1828,523.69,541.38,708.38,668.02,485.32
1829,554.75,568.5,739.62,700.27,513.3
1830,595.05,625.57,810.86,774.85,567.82
1831,646.08,692.89,898.86,845.79,633.11
1832,670.21,736.18,929.48,885.35,656.37
1833,682.0,754.99,959.75,910.81,670.91
1834,692.04,773.84,960.03,902.21,678.65
1835,688.88,765.67,970.25,912.41,688.8
1836,694.99,766.16,952.18,899.45,684.37
1837,687.57,757.87,946.18,882.61,678.19
1838,682.89,752.99,954.86,884.61,686.56
1839,678.92,764.62,928.86,887.76,692.28
1840,689.76,803.69,947.84,913.07,707.5
1841,727.47,844.64,1000.56,948.77,745.9
1842,746.25,884.21,1041.93,989.49,771.49
1843,742.73,888.04,1027.52,1006.29,739.4
1844,722.08,859.34,983.36,952.37,712.26
1845,686.24,802.4,929.83,883.4,664.77
1846,645.91,732.56,863.18,821.08,614.53
1847,589.55,677.43,776.12,759.51,567.01
1848,589.06,692.17,794.67,788.63,573.26
1849,567.94,652.72,750.58,751.34,535.66
1850,555.66,645.29,734.37,741.82,520.28
1851,555.87,628.57,727.77,756.01,514.18
1852,563.08,626.27,736.4,772.23,518.28
1853,600.85,657.14,788.66,804.66,540.8
1854,666.73,710.49,876.13,878.65,606.59
1855,732.25,772.54,962.08,955.41,653.61
1856,765.75,803.09,1023.81,979.22,686.72
1857,783.0,812.68,1038.61,991.36,713.23
1858,791.05,820.6,1047.35,999.44,726.59
1859,799.02,815.78,1069.36,1011.69,732.46
1860,806.29,794.0,1068.07,1033.72,740.55
1861,791.76,795.1,1046.21,1017.06,734.43
1862,805.7,804.44,1052.45,997.94,730.08
1863,810.03,820.54,1070.92,1010.3,735.68
1864,840.27,839.86,1084.45,1060.41,770.79
1865,875.76,883.68,1143.67,1114.23,812.3
1866,901.72,911.32,1175.71,1147.68,847.7
1867,912.02,915.86,1165.78,1134.13,827.38
1868,866.11,863.39,1117.68,1114.31,772.59
1869,796.65,811.08,1064.2,1035.62,727.85
1870,726.92,743.83,984.43,950.02,681.02
1871,661.91,686.86,912.35,854.58,619.58
1872,637.4,648.93,854.64,809.76,585.53
1873,605.98,604.25,815.04,775.11,566.35
1874,595.01,586.9,787.68,753.84,556.63
1875,578.7,572.89,788.61,739.48,542.28
1876,587.29,584.52,798.3,754.12,542.18
1877,621.32,622.22,833.76,792.44,568.95
1878,695.46,675.05,926.95,859.56,627.33
1879,750.04,741.02,1018.85,950.69,688.91
1880,784.17,763.24,1065.2,997.73,723.58
1881,799.95,774.89,1088.68,1038.7,735.03
1882,795.88,785.29,1101.19,1072.25,739.2
1883,801.35,805.69,1113.6,1097.05,738.93
1884,796.98,810.69,1111.0,1095.56,729.75
1885,766.52,809.31,1093.5,1100.73,729.13
1886,771.35,804.68,1096.28,1086.44,737.22
1887,782.94,811.3,1099.93,1090.7,733.23
1888,800.32,841.06,1148.58,1117.66,753.5
1889,823.68,881.99,1200.35,1144.2,796.35
1890,868.04,915.06,1239.73,1167.57,819.4
1891,862.35,911.18,1202.31,1131.9,804.06
1892,833.74,887.92,1143.91,1100.1,773.85
1893,792.16,843.26,1068.84,1024.75,730.71
1894,724.55,788.61,964.86,956.12,675.17
1895,668.45,723.4,877.18,879.72,624.09
1896,625.92,675.49,818.06,840.62,587.96
1897,593.72,632.74,777.9,813.37,557.81
1898,576.8,616.67,765.84,793.87,529.25
1899,568.18,600.86,740.23,789.57,532.06
1900,582.2,594.81,755.25,797.68,535.86
1901,612.34,624.12,806.29,829.47,567.09
1902,670.9,704.95,898.44,919.41,623.84
1903,728.08,768.58,978.89,993.05,674.79
1904,760.08,801.39,1000.93,1030.08,697.6
1905,765.82,816.21,1029.14,1041.26,703.93
1906,767.79,825.18,1041.08,1056.01,723.9
1907,774.05,819.88,1059.51,1061.22,742.16
1908,768.23,822.5,1068.29,1046.05,749.57
1909,759.41,822.09,1055.28,1027.35,748.03
1910,753.59,824.16,1037.67,1044.49,752.36
1911,779.21,834.47,1039.34,1046.73,759.85
1912,813.23,858.24,1051.46,1073.56,783.74
1913,854.07,905.15,1106.74,1127.25,824.1
1914,882.23,924.34,1142.44,1173.31,877.1
1915,895.08,895.09,1105.89,1150.57,883.23
1916,856.72,851.89,1033.47,1106.19,838.24
1917,798.98,798.28,977.18,1032.71,780.8
1918,737.36,742.35,887.72,941.49,734.67
1919,675.67,674.26,797.58,840.8,667.68
1920,644.19,638.69,763.69,793.35,619.17
1921,610.49,607.73,726.78,748.39,596.8
1922,606.85,597.69,704.03,722.39,577.06
1923,590.52,586.8,697.1,711.41,569.72
1924,600.86,599.35,721.44,722.97,575.99
1925,623.05,636.48,760.48,744.29,614.3
1926,697.25,697.71,852.27,822.33,657.11
1927,754.89,759.74,938.54,884.99,703.42
1928,783.05,787.16,977.45,932.62,737.07
1929,804.3,796.44,1007.99,937.52,751.98
1930,820.53,798.79,1005.11,967.77,765.02
1931,814.92,797.03,999.41,1006.87,764.47
1932,809.01,805.17,992.95,1010.54,751.99
1933,786.2,802.12,998.84,999.61,748.51
1934,785.75,801.54,991.5,995.5,731.58
1935,790.78,810.98,999.05,1021.7,747.46
1936,808.72,835.3,1018.13,1059.33,762.99
1937,838.38,890.29,1068.81,1137.99,790.9
1938,863.35,931.18,1101.44,1170.93,820.51
1939,847.6,918.94,1103.25,1151.67,818.17
1940,815.49,885.46,1046.95,1100.73,783.75
1941,776.73,812.8,982.01,1021.13,735.3
1942,699.2,745.41,917.47,962.24,675.35
1943,639.2,676.71,831.83,877.52,602.87
1944,598.4,641.99,773.05,834.45,569.57
1945,572.56,607.04,727.35,787.14,542.22
1946,551.37,586.45,694.71,758.52,526.4
1947,543.3,574.42,697.21,752.89,521.54
1948,543.82,572.99,709.57,745.62,533.04
1949,577.88,594.88,757.42,778.53,579.44
1950,636.75,648.47,830.1,860.68,650.44
1951,693.56,713.18,908.51,946.89,701.19
1952,726.05,747.61,960.32,962.55,717.71
1953,738.55,771.67,985.29,969.16,736.01
1954,732.06,796.71,1012.9,986.8,757.08
1955,745.56,813.9,1021.17,993.12,771.84
1956,748.84,796.87,996.97,980.62,774.62
1957,740.74,784.46,974.03,975.54,757.29
1958,750.15,800.14,964.57,989.46,772.55
1959,768.59,810.03,974.24,980.41,768.05
1960,780.01,837.6,994.38,1006.33,779.35
1961,808.83,879.26,1028.97,1053.95,810.17
1962,853.86,896.16,1061.96,1078.07,840.45
1963,860.4,893.67,1037.3,1068.73,820.24
1964,814.85,853.88,996.97,1025.64,785.61
1965,751.77,790.78,936.24,991.24,721.04
1966,688.06,733.53,873.55,919.81,671.92
1967,626.55,686.08,817.46,852.19,609.22
1968,538.17,601.24,715.56,751.17,531.81
1969,512.94,563.39,697.09,699.22,496.07
1970,492.63,548.55,675.73,667.49,478.0
1971,479.86,535.99,663.11,664.69,479.89
1972,493.35,528.11,668.78,682.22,486.22
1973,516.0,554.07,697.12,738.56,508.44
1974,568.52,614.08,780.46,806.51,555.0
1975,626.61,663.73,831.46,872.78,599.47
1976,660.57,692.56,872.67,919.73,638.58
1977,671.84,707.19,896.45,948.44,652.16
1978,679.76,712.03,909.28,965.25,650.94
1979,680.29,717.44,918.49,971.58,656.62
1980,696.27,716.7,927.55,953.31,650.63
1981,695.43,709.48,934.5,928.05,637.57
1982,686.3,710.4,931.38,928.4,652.46
1983,693.58,723.92,942.8,962.96,659.59
1984,720.35,742.11,984.08,982.06,671.63
1985,758.61,770.87,1005.1,997.3,712.54
1986,802.96,805.65,1053.81,1033.73,744.23
1987,808.01,794.13,1034.12,1032.02,736.79
1988,766.67,781.73,985.69,987.92,701.4
1989,716.13,730.76,935.18,909.81,671.23
1990,649.76,690.98,870.35,827.72,619.28
1991,596.52,634.78,797.79,760.5,575.18
1992,562.05,601.64,746.94,722.74,548.36
1993,551.4,578.18,705.35,693.11,511.93
1994,536.7,565.73,688.47,670.42,507.52
1995,515.78,556.96,685.72,668.86,504.11
1996,518.08,561.73,703.76,677.02,504.49
1997,545.86,584.7,742.97,716.35,521.56
1998,591.21,636.01,818.49,793.38,569.44
1999,638.42,701.17,903.68,865.51,610.23
2000,662.62,709.79,935.35,907.7,615.7
2001,679.41,739.95,952.32,931.44,622.85
2002,685.21,755.65,963.63,937.58,650.5
2003,684.94,760.07,969.18,934.55,668.77
2004,692.51,775.4,977.79,928.72,661.77
2005,681.88,783.63,964.78,920.78,664.26
2006,678.45,791.83,960.65,945.46,673.07
2007,674.31,776.07,997.4,960.04,681.27
2008,688.43,779.25,1015.53,1003.37,707.7
2009,728.37,821.92,1071.53,1038.43,736.4
2010,740.66,839.14,1111.72,1084.7,759.24
2011,735.79,836.12,1090.48,1069.35,759.88
2012,712.22,795.9,1046.27,1008.8,727.12
2013,665.23,748.85,965.04,966.02,677.46
2014,616.86,688.02,877.22,890.29,617.41
2015,558.2,630.19,806.34,821.16,570.33
2016,575.75,627.24,794.35,812.41,579.12
2017,556.09,596.95,738.77,770.89,555.86
2018,543.89,576.03,714.86,760.39,540.41
2019,525.66,576.49,700.75,752.92,544.38
2020,526.7,579.87,713.9,770.68,554.54
2021,562.55,614.36,734.81,818.91,586.13
2022,632.96,681.0,814.48,883.58,641.21
2023,693.31,741.8,884.32,958.48,697.25
2024,733.27,765.34,921.87,982.61,723.21
2025,742.17,782.58,930.11,1012.41,737.26
2026,747.67,789.5,930.22,1012.71,732.06
2027,754.95,805.14,976.16,1043.17,729.58
2028,758.8,796.37,981.74,1054.47,729.59
2029,737.6,778.18,972.63,1070.15,729.39
2030,746.56,785.84,996.39,1057.71,731.36
2031,765.87,796.47,1021.91,1087.62,728.95
2032,776.7,831.64,1011.9,1107.85,752.53
2033,799.78,884.37,1060.09,1154.4,790.27
2034,832.59,895.27,1110.13,1184.98,817.97
2035,819.34,890.39,1092.54,1184.59,817.31
2036,761.74,853.22,1039.66,1130.48,787.83
2037,722.26,799.58,983.36,1056.91,749.42
2038,668.63,745.56,903.75,979.2,696.01
2039,609.69,697.86,825.38,909.29,634.68
2040,589.88,656.53,765.89,852.51,590.29
2041,562.27,622.55,727.57,811.94,568.67
2042,543.03,610.31,707.47,770.0,555.03
2043,536.94,606.42,699.98,766.66,554.19
2044,537.56,612.35,719.03,778.96,575.24
2045,561.26,649.72,754.58,818.58,604.01
2046,621.38,724.11,807.14,886.36,667.19
2047,674.15,782.92,867.44,973.03,729.58
2048,699.46,825.12,916.2,1001.42,751.14
2049,729.56,831.68,927.38,1012.29,762.23
2050,744.92,849.9,934.58,1012.36,762.87
2051,759.51,846.87,957.27,1047.27,784.5
2052,764.02,836.56,988.55,1036.05,790.4
2053,760.52,813.86,957.03,1004.31,791.48
2054,772.89,809.94,977.3,992.77,799.99
2055,778.9,816.57,993.01,1011.74,801.2
2056,817.36,837.91,1021.03,1047.77,822.39
2057,844.11,872.51,1045.35,1094.0,873.68
2058,870.02,900.49,1066.87,1166.12,906.08
2059,847.29,887.05,1074.56,1133.95,894.31
2060,806.52,844.43,1004.06,1074.7,829.3
2061,759.42,792.06,969.28,1020.74,778.46
2062,711.85,725.57,899.33,939.02,714.94
2063,645.83,665.89,823.53,856.64,651.28
2064,607.09,620.78,753.92,809.84,614.85
2065,574.4,581.32,718.82,757.79,581.3
2066,554.32,572.68,711.09,740.75,567.36
2067,539.07,560.18,706.89,717.98,566.02
2068,546.86,569.13,721.41,714.68,568.3
2069,563.78,592.42,762.67,759.44,597.18
2070,621.84,640.65,844.49,840.56,652.31
2071,679.38,688.66,931.86,904.25,703.7
2072,702.78,711.65,994.4,958.99,737.44
2073,708.96,740.91,1003.98,995.07,751.48
2074,705.01,743.45,1011.02,1006.03,777.24
2075,730.81,755.2,1031.48,1005.04,786.96
2076,719.79,753.5,1024.1,995.98,790.15
2077,728.45,749.41,992.44,992.56,776.52
2078,734.67,739.79,994.12,998.39,776.65
2079,739.07,759.89,996.15,1002.17,796.75
2080,750.35,785.67,1040.73,1001.98,825.12
2081,796.82,819.37,1107.64,1060.41,853.85
2082,843.43,859.22,1162.65,1115.61,879.78
2083,826.64,836.87,1171.22,1113.9,873.99
2084,788.13,795.21,1133.88,1091.81,849.93
2085,747.77,750.11,1056.83,1018.47,795.51
2086,692.36,707.46,959.93,953.51,732.34
2087,648.96,644.73,883.84,867.79,666.33
2088,605.75,623.73,850.77,818.19,626.38
2089,579.24,602.15,811.85,779.24,602.55
2090,555.39,580.3,802.02,748.8,590.86
2091,561.42,576.44,796.86,739.31,580.06
2092,563.11,592.13,808.42,728.74,571.84
2093,576.7,615.7,836.29,761.9,610.33
2094,633.49,689.42,918.62,834.9,664.72
2095,690.06,737.58,1012.78,903.04,713.66
2096,735.63,781.22,1049.73,946.82,750.22
2097,746.69,807.15,1066.32,959.23,773.14
2098,753.42,829.94,1060.94,971.19,782.97
2099,765.63,844.37,1051.12,982.21,778.8
2100,779.24,844.94,1040.19,991.08,772.31
2101,769.82,819.53,1011.51,981.73,763.1
2102,777.84,835.24,1023.79,989.06,759.44
2103,788.38,847.66,1051.37,998.81,776.36
2104,806.48,878.24,1061.95,1034.9,809.93
2105,843.19,910.6,1120.65,1109.65,857.34
2106,871.85,916.71,1163.85,1146.56,891.78
2107,853.54,913.04,1145.02,1134.6,872.76
2108,826.94,863.11,1094.74,1072.25,826.26
2109,760.44,807.29,1045.46,1013.42,777.33
2110,710.29,749.05,960.77,934.31,719.91
2111,656.6,674.79,884.13,842.25,654.63
2112,615.92,640.67,824.13,809.41,619.39
2113,579.55,603.62,781.6,764.67,586.67
2114,562.39,584.11,739.26,747.62,567.85
2115,557.37,581.97,728.15,736.48,550.53
2116,568.87,579.27,742.67,768.29,548.59
2117,599.73,605.97,764.47,789.56,590.91
2118,666.03,665.31,839.21,873.9,642.31
2119,720.25,735.75,892.08,950.81,705.56
2120,750.86,765.99,938.86,1010.85,747.81
2121,750.53,788.06,955.58,1029.22,757.95
2122,763.97,785.25,971.33,1046.96,775.07
2123,771.72,778.86,959.97,1079.52,776.07
2124,766.92,778.58,964.3,1085.92,777.88
2125,769.09,787.39,959.32,1100.73,777.13
2126,773.97,792.81,945.42,1079.61,781.43
2127,754.57,796.46,968.2,1062.67,780.09
2128,776.5,813.53,1019.38,1090.59,795.22
2129,798.44,866.3,1063.18,1136.61,838.82
2130,838.18,904.07,1091.41,1146.77,880.35
2131,855.69,880.5,1090.29,1147.55,880.13
2132,812.31,822.41,1071.75,1094.7,827.86
2133,760.42,789.99,999.45,1015.91,777.81
2134,698.5,730.33,910.0,952.75,720.73
2135,641.73,669.14,833.67,891.14,660.75
2136,565.25,590.48,719.96,775.11,575.4
2137,545.0,561.1,684.63,751.39,538.19
2138,523.9,545.78,657.33,714.76,524.75
2139,525.76,538.27,640.03,705.56,518.52
2140,525.9,532.34,665.09,720.4,521.9
2141,554.49,558.84,704.92,765.54,549.11
2142,617.12,612.08,769.9,850.99,604.09
2143,677.23,677.85,835.02,927.24,666.01
2144,696.13,715.35,888.86,970.62,682.3
2145,702.97,726.53,901.34,990.36,685.84
2146,705.04,732.91,921.59,988.25,687.39
2147,710.71,741.19,935.74,993.25,695.07
2148,719.61,759.42,946.85,978.56,694.25
2149,700.86,761.2,943.29,984.43,695.26
2150,704.19,754.21,933.04,992.21,688.96
2151,715.42,774.02,929.93,1006.06,702.73
2152,739.91,786.37,957.44,1008.52,725.52
2153,777.48,833.33,999.2,1046.55,758.56
2154,818.01,862.78,1047.36,1066.99,791.07
2155,813.45,842.25,1032.92,1061.91,789.53
2156,783.61,800.79,968.3,1003.99,745.73
2157,736.23,747.76,904.36,938.19,694.39
2158,690.62,698.32,855.17,882.6,650.14
2159,616.69,648.82,768.76,804.73,594.39
2160,587.17,599.22,721.87,757.43,559.93
2161,555.06,566.32,694.19,723.12,535.38
2162,537.49,558.81,690.39,714.59,503.96
2163,523.15,554.27,683.3,709.16,495.79
2164,517.64,564.46,705.16,710.47,507.73
2165,541.95,597.91,737.79,732.89,530.33
2166,590.91,662.46,814.13,789.12,580.84
2167,648.32,732.13,883.64,836.52,642.49
2168,663.2,757.22,900.7,904.16,677.5
2169,688.48,750.66,921.59,917.38,685.71
2170,697.17,761.67,906.04,938.97,687.29
2171,701.45,762.36,936.49,959.17,694.49
2172,695.25,746.7,961.75,976.77,707.92
2173,682.08,740.18,964.91,969.74,710.12
2174,673.08,733.59,953.42,976.45,710.38
2175,675.88,740.6,957.85,955.15,724.68
2176,696.45,743.26,990.06,1020.9,742.45
2177,728.41,784.62,1049.61,1092.86,782.09
2178,742.33,813.25,1081.39,1137.4,805.33
2179,735.15,809.25,1064.8,1141.93,782.64
2180,696.93,767.96,1019.95,1084.79,739.01
2181,655.73,712.96,969.55,1019.46,701.4
2182,620.55,666.84,887.33,957.51,641.83
2183,573.35,616.31,826.07,887.66,582.81
2184,578.36,624.41,834.55,894.23,587.64
2185,539.72,585.68,786.95,845.65,557.09
2186,517.61,575.24,763.43,826.57,539.94
2187,501.29,564.86,746.61,806.08,526.18
2188,514.62,579.27,757.87,810.37,534.4
2189,538.08,605.04,793.75,857.01,565.57
2190,594.36,667.87,863.42,929.33,630.06
2191,645.3,732.61,944.18,1016.53,682.57
2192,675.27,758.6,975.3,1057.65,700.4
2193,703.29,779.76,993.41,1077.94,721.6
2194,705.58,774.74,1014.53,1080.83,733.38
2195,711.1,796.25,1034.7,1083.09,729.9
2196,705.66,792.67,1033.81,1069.19,739.69
2197,708.68,781.63,1023.71,1077.55,743.45
2198,701.13,780.72,1021.86,1063.43,734.27
2199,699.73,785.69,991.82,1084.54,736.59
2200,709.54,802.35,1014.34,1098.51,752.1
2201,732.19,843.24,1058.45,1172.65,800.81
2202,766.78,867.89,1108.4,1205.62,835.17
2203,788.92,858.71,1116.58,1208.22,834.07
2204,746.95,824.64,1062.14,1133.64,798.18
2205,709.88,771.47,984.48,1036.85,745.12
2206,658.17,705.66,893.52,953.79,685.65
2207,595.59,654.08,823.8,866.98,629.83
2208,559.87,633.72,781.38,818.58,597.03
2209,532.33,598.58,737.96,774.34,571.83
2210,515.48,589.78,729.38,762.66,553.82
2211,522.6,577.07,728.99,758.42,547.14
2212,517.88,583.11,736.99,788.92,551.57
2213,549.18,606.05,772.39,823.05,586.52
2214,607.95,662.71,845.15,897.65,649.63
2215,659.69,717.3,923.35,973.01,698.91
2216,689.95,747.7,936.14,1031.02,723.67
2217,712.83,760.98,935.04,1062.54,750.78
2218,722.11,790.94,943.78,1074.88,752.67
2219,733.68,790.63,958.9,1081.15,754.19
2220,740.48,797.53,973.75,1072.83,744.91
2221,715.61,798.36,937.42,1053.96,734.38
2222,729.86,781.54,957.25,1069.39,733.04
2223,757.77,773.53,945.39,1081.09,726.57
2224,788.03,806.35,981.16,1097.1,747.35
2225,833.53,833.14,1032.37,1143.69,770.54
2226,847.67,861.49,1052.76,1200.36,813.29
2227,838.4,827.75,1050.7,1197.74,815.47
2228,793.6,783.93,1004.47,1168.09,768.95
2229,737.66,735.08,940.3,1101.7,712.47
2230,688.31,691.11,871.5,1013.94,664.83
2231,624.0,651.74,787.19,930.01,604.52
2232,586.25,612.09,731.67,867.05,567.25
2233,544.9,594.27,682.34,833.03,543.01
2234,530.55,579.84,673.02,815.68,531.05
2235,524.82,571.36,671.2,794.3,512.51
2236,527.82,578.28,673.64,804.22,516.9
2237,551.51,607.88,701.55,855.74,548.16
2238,622.08,657.25,775.17,954.23,604.42
2239,669.09,718.13,839.04,1023.74,664.05
2240,688.89,739.32,882.35,1058.16,697.02
2241,696.95,759.72,911.97,1068.47,715.18
2242,716.06,795.41,909.02,1079.89,722.68
2243,742.86,791.12,922.86,1101.51,718.37
2244,745.91,808.53,919.84,1096.7,709.64
2245,732.32,790.36,925.03,1081.17,696.95
2246,728.78,788.09,905.39,1093.38,700.18
2247,745.8,806.85,931.9,1102.6,701.72
2248,758.87,835.79,959.32,1117.43,723.87
2249,808.68,887.64,1008.62,1165.97,738.54
2250,851.32,933.64,1040.86,1193.06,757.01
2251,843.63,921.53,1007.85,1194.08,753.09
2252,812.08,875.21,971.51,1141.91,728.61
2253,765.88,825.13,925.52,1071.79,679.79
2254,717.76,764.9,865.82,988.45,633.28
2255,647.73,713.61,794.19,925.49,576.98
2256,616.64,656.16,735.8,868.76,555.27
2257,582.59,631.21,688.42,820.64,532.53
2258,561.42,617.82,680.48,789.02,518.42
2259,553.79,606.73,672.78,799.88,512.6
2260,558.88,608.28,686.23,813.41,517.34
2261,580.69,633.91,720.3,847.17,546.04
2262,626.21,690.7,786.72,927.04,609.01
2263,675.53,768.25,865.86,997.97,671.34
2264,716.68,799.98,889.57,1045.46,693.19
2265,748.08,812.89,921.56,1079.32,700.86
2266,760.19,821.04,937.36,1087.84,721.58
2267,776.93,834.15,957.93,1094.95,744.64
2268,770.64,840.88,966.51,1085.43,738.81
2269,761.19,831.74,974.08,1076.07,733.01
2270,762.43,828.91,973.57,1076.26,732.21
2271,758.86,828.65,992.38,1082.15,749.44
2272,770.86,851.78,1027.25,1103.65,763.85
2273,807.49,889.85,1080.72,1153.55,791.87
2274,832.78,914.68,1119.04,1212.9,826.99
2275,814.92,903.57,1091.42,1196.93,818.88
2276,783.47,877.49,1057.76,1146.17,786.89
2277,731.41,828.98,1010.71,1077.28,726.11
2278,683.14,766.45,935.69,986.63,698.92
2279,625.38,711.02,866.79,901.1,629.44
2280,586.19,671.43,810.74,861.54,594.67
2281,558.39,646.18,757.28,819.1,579.66
2282,542.86,628.18,754.6,788.18,567.29
2283,531.4,628.89,743.67,768.94,545.58
2284,536.06,639.44,744.29,770.56,575.77
2285,569.73,668.86,787.19,822.27,591.36
2286,631.63,724.04,855.23,894.36,638.65
2287,699.42,789.69,941.46,986.4,699.2
2288,713.31,822.5,988.02,1023.43,733.26
2289,724.15,827.02,1004.03,1047.21,730.14
2290,727.77,832.17,1019.14,1058.67,739.01
2291,736.73,833.66,1011.83,1068.67,751.17
2292,732.97,835.93,1021.1,1079.99,751.86
2293,721.84,814.95,1009.39,1061.33,736.41
2294,729.4,814.92,997.9,1064.07,744.83
2295,738.34,841.7,1009.87,1073.78,743.2
2296,749.14,874.93,1035.51,1100.17,770.11
2297,797.69,914.23,1086.78,1188.98,813.13
2298,836.15,962.31,1136.2,1217.24,840.1
2299,822.87,947.89,1130.88,1216.7,831.55
2300,794.81,913.64,1079.26,1169.72,798.71
2301,737.28,856.59,1007.79,1098.22,756.22
2302,689.06,784.43,928.17,1011.97,684.65
2303,628.9,721.08,858.89,908.93,639.25
2304,544.75,649.1,736.5,809.49,548.84
2305,515.79,609.57,705.25,784.17,516.44
2306,497.99,586.48,689.34,743.2,506.81
2307,492.85,588.78,665.08,734.3,497.48
2308,500.68,590.64,669.77,735.5,509.91
2309,527.4,619.46,705.52,780.94,537.57
2310,576.39,676.39,789.81,860.89,584.7
2311,601.21,730.24,863.6,925.64,635.8
2312,628.8,763.91,892.94,968.14,651.15
2313,627.72,768.99,914.92,1007.57,664.65
2314,638.29,766.47,929.25,1020.25,664.28
2315,656.06,771.44,942.72,1057.38,677.6
2316,659.97,776.37,970.66,1056.83,676.72
2317,651.87,781.59,962.44,1025.54,675.29
2318,651.92,780.39,945.75,1031.75,665.25
2319,658.68,795.5,966.19,1008.27,690.04
2320,674.56,830.05,982.69,1048.42,710.86
2321,702.68,871.5,1050.17,1084.83,761.13
2322,721.29,909.06,1092.74,1140.17,802.92
2323,728.27,896.71,1078.84,1147.25,796.21
2324,698.07,840.04,1030.11,1108.84,775.25
2325,662.91,792.5,965.08,1034.96,729.68
2326,610.43,720.11,900.67,949.23,669.85
2327,560.39,663.04,830.16,868.28,599.12
2328,526.94,619.4,780.19,822.57,558.81
2329,504.83,580.59,731.48,788.59,531.39
2330,497.41,564.82,712.77,771.41,516.83
2331,492.55,548.96,708.64,773.59,512.94
2332,495.22,557.19,717.94,777.82,520.44
2333,516.73,585.52,751.64,807.44,554.21
2334,580.66,642.82,814.43,886.27,604.66
2335,631.39,714.71,907.47,951.0,657.78
2336,655.57,751.56,943.54,992.82,688.72
2337,680.83,763.95,960.83,1019.21,704.85
2338,696.08,778.52,968.35,1045.33,716.79
2339,706.49,789.04,970.55,1029.59,726.36
2340,702.26,785.16,961.0,1038.75,725.83
2341,714.02,764.75,976.79,1040.27,720.22
2342,715.59,758.15,963.57,1047.87,711.85
2343,725.32,783.79,965.95,1049.51,716.5
2344,742.86,806.27,976.23,1075.15,740.6
2345,763.15,848.88,1017.79,1091.82,761.8
2346,776.96,895.82,1057.82,1127.04,804.0
2347,773.49,879.02,1043.01,1136.04,793.01
2348,742.66,850.13,1016.1,1081.52,756.65
2349,692.72,771.27,960.84,1003.28,716.35
2350,629.55,702.41,878.77,929.69,671.29
2351,566.53,626.65,794.97,856.23,613.82
2352,571.35,637.28,820.84,849.89,627.7
2353,534.32,607.2,776.13,817.3,600.49
2354,527.38,587.1,753.56,806.18,573.31
2355,528.41,575.76,753.71,796.49,567.57
2356,553.97,605.87,771.31,796.52,572.98
2357,588.36,640.97,810.27,841.68,600.71
2358,641.62,709.45,891.8,926.02,657.38
2359,691.9,765.48,971.28,1017.97,701.03
2360,690.78,789.97,1010.5,1061.95,730.13
2361,700.41,808.2,1022.93,1061.01,755.14
2362,706.92,813.35,1041.92,1079.33,764.59
2363,723.58,820.06,1052.01,1108.71,770.37
2364,729.74,817.74,1053.84,1100.06,773.07
2365,728.31,793.52,1037.97,1074.9,756.27
2366,730.33,798.68,1023.39,1076.17,754.56
2367,743.32,809.87,1044.31,1081.67,763.82
2368,777.69,840.02,1076.14,1117.46,797.78
2369,802.93,887.59,1116.29,1155.99,831.12
2370,826.68,939.87,1156.45,1175.05,867.05
2371,805.79,926.82,1121.29,1163.55,861.46
2372,786.43,888.36,1070.96,1110.12,834.73
2373,747.51,844.83,1014.43,1034.42,768.17
2374,694.79,774.9,939.47,962.4,715.61
2375,626.46,718.54,856.02,885.72,659.21
2376,590.25,673.77,802.76,824.49,613.89
2377,559.47,636.79,759.78,777.53,572.88
2378,545.32,612.05,738.04,748.6,556.15
2379,536.62,602.9,726.77,758.05,541.29
2380,546.88,625.97,723.93,775.22,556.68
2381,572.54,672.12,753.9,794.28,586.33
2382,635.88,738.46,830.11,871.84,651.96
2383,694.99,808.6,907.19,955.66,712.43
2384,720.7,851.36,954.98,1021.35,741.76
2385,733.53,855.52,978.9,1033.8,763.0
2386,736.32,857.98,990.25,1046.36,754.4
2387,750.35,862.87,985.55,1075.64,766.3
2388,747.29,842.79,994.91,1081.64,768.61
2389,742.18,826.51,967.05,1053.41,755.62
2390,738.13,820.35,961.98,1041.74,762.01
2391,731.75,825.31,974.26,1046.2,775.2
2392,761.38,847.34,993.1,1090.75,801.4
2393,786.72,863.03,1054.54,1163.69,843.81
