hour,bus001,bus002,bus003,bus004,bus006,bus007,bus011,bus012,bus013,bus014,bus015,bus016,bus017,bus018,bus019,bus020,bus021,bus022,bus023,bus027,bus028,bus029,bus031,bus032,bus033,bus034,bus035,bus036,bus039,bus040,bus041,bus042,bus043,bus044,bus045,bus046,bus047,bus048,bus049,bus050,bus051,bus052,bus053,bus054,bus055,bus056,bus057,bus058,bus059,bus060,bus062,bus066,bus067,bus070,bus074,bus075,bus076,bus077,bus078,bus079,bus080,bus082,bus083,bus084,bus085,bus086,bus088,bus090,bus092,bus093,bus094,bus095,bus096,bus097,bus098,bus100,bus101,bus102,bus103,bus104,bus105,bus106,bus107,bus108,bus109,bus110,bus112,bus114,bus115,bus117,bus118
1860,258.143,101.226,197.3979,151.8628,263.1971,96.1719,354.3148,237.8787,172.0794,70.8534,455.5408,126.5444,54.336,303.678,227.7704,91.1177,70.8534,50.6368,35.4267,313.834,86.0635,121.4903,217.6621,298.6238,72.6024,186.2036,104.1468,97.8438,80.273,58.8277,110.0037,110.0037,17.4999,15.5555,51.5274,27.222,33.0553,19.4443,84.5828,16.5277,16.5277,17.4999,22.361,109.8604,61.2496,81.6661,11.6666,11.6666,269.3038,75.8328,74.8606,37.9164,27.222,102.9066,106.025,73.282,66.1107,59.3052,69.0273,37.9164,126.3881,129.9577,48.1325,26.4729,57.759,50.5391,115.518,187.7167,236.4404,43.6505,109.1263,152.7769,138.2267,22.0421,49.9622,134.5891,80.026,18.1877,83.6635,138.2267,112.7639,156.4144,100.4965,7.2751,29.1003,141.8642,90.9386,20.0081,55.0283,50.0321,48.4927
1861,256.1568,100.4471,195.879,150.6944,261.172,95.4319,351.5886,236.0484,170.7554,70.3083,452.0358,125.5707,53.918,301.3414,226.0179,90.4166,70.3083,50.2472,35.1541,311.4192,85.4013,120.5555,215.9874,296.3261,72.0438,184.7709,103.3454,97.091,79.6553,58.375,109.1573,109.1573,17.093,15.1938,50.3295,26.5891,32.2868,18.9923,82.6163,16.1434,16.1434,17.093,21.8411,107.3062,59.8256,79.7675,11.3953,11.3953,263.0427,74.0698,73.1202,37.0349,26.5891,100.5141,103.56,71.5782,64.5737,57.9264,67.4225,37.0349,123.4496,126.9363,47.0134,25.8574,56.4161,49.3641,112.8323,183.3524,235.2585,43.4323,108.5808,152.0132,137.5357,21.932,49.7125,133.9164,79.626,18.0968,83.2453,137.5357,112.2002,155.6325,99.9941,7.2387,28.9549,141.1551,90.484,19.9081,54.7532,49.782,48.2503
1862,260.3216,102.0803,199.0638,153.1445,265.4184,96.9835,357.305,239.8863,173.5317,71.4514,459.3853,127.6124,54.7946,306.2409,229.6927,91.8867,71.4514,51.0642,35.7257,316.4826,86.7899,122.5156,219.4991,301.1441,73.2152,187.775,105.0257,98.6696,80.9504,59.3241,110.9321,110.9321,17.0227,15.1313,50.1224,26.4798,32.154,18.9141,82.2764,16.077,16.077,17.0227,21.7512,106.8648,59.5795,79.4393,11.3485,11.3485,261.9605,73.7651,72.8194,36.8825,26.4798,100.1006,103.1339,71.2837,64.308,57.6881,67.1451,36.8825,122.9418,126.4141,46.82,25.751,56.184,49.161,112.3681,182.5981,241.4788,44.5807,111.4517,156.0324,141.1722,22.5119,51.0269,137.4571,81.7313,18.5753,85.4463,141.1722,115.1668,159.7475,102.638,7.4301,29.7205,144.8872,92.8764,20.4345,56.2009,51.0983,49.5261
1863,270.1419,105.9311,206.5732,158.9217,275.4309,100.6421,370.7839,248.9357,180.0779,74.1468,476.7151,132.4264,56.8617,317.7934,238.3575,95.353,74.1468,52.9905,37.0734,328.4215,90.0639,127.1373,227.7794,312.5043,75.9771,194.8586,108.9877,102.3918,84.0042,61.5621,115.1168,115.1168,17.5797,15.6264,51.7623,27.3461,33.206,19.533,84.9683,16.603,16.603,17.5797,22.4629,110.3612,61.5288,82.0384,11.7198,11.7198,270.5314,76.1785,75.2019,38.0893,27.3461,103.3757,106.5083,73.616,66.412,59.5755,69.342,38.0893,126.9642,130.5501,48.3519,26.5935,58.0223,50.7695,116.0446,188.5724,261.7607,48.325,120.8126,169.1377,153.0293,24.4026,55.3126,149.0022,88.5959,20.1354,92.623,153.0293,124.8397,173.1648,111.2586,8.0542,32.2167,157.0564,100.6772,22.1508,60.9212,55.3901,53.6858
1864,291.6762,114.3754,223.0401,171.5901,297.3868,108.6647,400.3409,268.7795,194.4328,80.0574,514.7163,142.9827,61.3944,343.1262,257.3581,102.954,80.0574,57.2147,40.0287,354.6015,97.2433,137.272,245.9368,337.4155,82.0336,210.3917,117.6756,110.5539,90.7006,66.4695,124.2933,124.2933,19.5518,17.3794,57.5691,30.4139,36.9311,21.7242,94.5002,18.4656,18.4656,19.5518,24.9828,122.7417,68.4312,91.2416,13.0345,13.0345,300.88,84.7243,83.6381,42.3622,30.4139,114.9725,118.4565,81.8744,73.8622,66.2588,77.1209,42.3622,141.2072,145.1954,53.7761,29.5768,64.5313,56.4649,129.0626,209.7268,284.9434,52.6049,131.5123,184.1173,166.5823,26.5638,60.2114,162.1985,96.4424,21.9187,100.8261,166.5823,135.8961,188.501,121.1121,8.7675,35.0699,170.966,109.5936,24.1126,66.3167,60.2956,58.4404
1865,297.6561,116.7203,227.6129,175.108,303.4839,110.8926,408.5487,274.2901,198.4191,81.6987,525.2691,145.9142,62.6531,350.161,262.6345,105.0648,81.6987,58.3877,40.8494,361.8716,99.237,140.0864,250.979,344.3333,83.7155,214.7052,120.0882,112.8205,92.5601,67.8322,126.8416,126.8416,21.0972,18.7531,62.1196,32.8179,39.8503,23.4413,101.9698,19.9251,19.9251,21.0972,26.9575,132.4436,73.8402,98.4536,14.0648,14.0648,324.6626,91.4212,90.2492,45.7106,32.8179,124.0603,127.8197,88.346,79.7006,71.4961,83.2168,45.7106,152.3687,156.6722,58.0267,31.9147,69.6321,60.9281,139.2642,226.3043,283.9947,52.4298,131.0745,183.5043,166.0276,26.4754,60.0109,161.6585,96.1213,21.8457,100.4904,166.0276,135.4436,187.8734,120.7089,8.7383,34.9532,170.3968,109.2287,24.0323,66.0959,60.0949,58.2459
1866,305.5288,119.8075,233.633,179.7394,311.5107,113.8256,419.3543,281.5447,203.667,83.8596,539.1618,149.7734,64.3102,359.4224,269.5809,107.8436,83.8596,59.932,41.9298,371.4426,101.8617,143.7915,257.6171,353.4405,85.9297,220.3839,123.2644,115.8044,95.0082,69.6263,130.1964,130.1964,21.8892,19.4571,64.4515,34.0499,41.3463,24.3213,105.7978,20.6731,20.6731,21.8892,27.9695,137.4156,76.6122,102.1496,14.5928,14.5928,336.8506,94.8532,93.6372,47.4266,34.0499,128.7176,132.6181,91.6625,82.6926,74.1801,86.3408,47.4266,158.0887,162.5537,60.2051,33.1128,72.2461,63.2153,144.4922,234.7998,287.5949,53.0944,132.7361,185.8306,168.1324,26.811,60.7717,163.7079,97.3398,22.1227,101.7644,168.1324,137.1607,190.2551,122.2392,8.8491,35.3963,172.557,110.6134,24.337,66.9338,60.8567,58.9843
1867,304.903,119.5621,233.1545,179.3713,310.8726,113.5924,418.4954,280.9681,203.2499,83.6878,538.0575,149.4667,64.1785,358.6862,269.0287,107.6228,83.6878,59.8092,41.8439,370.6818,101.6531,143.497,257.0894,352.7165,85.7537,219.9325,123.0119,115.5673,94.8136,69.4837,129.9298,129.9298,21.8879,19.456,64.4478,34.0479,41.3439,24.3199,105.7917,20.672,20.672,21.8879,27.9679,137.4077,76.6078,102.1437,14.592,14.592,336.8312,94.8478,93.6318,47.4239,34.0479,128.7102,132.6105,91.6573,82.6878,74.1758,86.3358,47.4239,158.0796,162.5444,60.2016,33.1109,72.2419,63.2117,144.4839,234.7863,276.6482,51.0735,127.6838,178.7573,161.7328,25.7905,58.4585,157.4767,93.6348,21.2806,97.8909,161.7328,131.9399,183.0134,117.5864,8.5123,34.049,165.9889,106.4032,23.4106,64.3861,58.5404,56.7391
1868,290.0825,113.7505,221.8215,170.6525,295.762,108.071,398.1535,267.311,193.3705,79.62,511.904,142.2015,61.0589,341.2515,255.952,102.3915,79.62,56.902,39.81,352.664,96.712,136.522,244.593,335.572,81.5854,209.2421,117.0326,109.9498,90.205,66.1063,123.6142,123.6142,20.7852,18.4758,61.201,32.3326,39.261,23.0947,100.462,19.6305,19.6305,20.7852,26.5589,130.4851,72.7484,96.9978,13.8568,13.8568,319.8618,90.0694,88.9147,45.0347,32.3326,122.2258,125.9297,87.0396,78.522,70.4389,81.9862,45.0347,150.1157,154.3555,57.1687,31.4428,68.6024,60.0271,137.2049,222.9579,253.881,46.8703,117.1758,164.0462,148.4227,23.668,53.6476,144.5169,85.929,19.5293,89.8348,148.4227,121.0817,167.952,107.9094,7.8117,31.2469,152.3286,97.6465,21.484,59.0873,53.7227,52.0697
1869,270.2205,105.962,206.6333,158.9679,275.5111,100.6714,370.8918,249.0081,180.1303,74.1684,476.8538,132.4649,56.8782,317.8859,238.4269,95.3807,74.1684,53.0059,37.0842,328.517,90.0901,127.1743,227.8457,312.5953,75.9992,194.9153,109.0194,102.4216,84.0286,61.58,115.1503,115.1503,18.8357,16.7428,55.4606,29.2999,35.5785,20.9285,91.039,17.7892,17.7892,18.8357,24.0678,118.2461,65.9248,87.8998,12.5571,12.5571,289.8599,81.6212,80.5748,40.8106,29.2999,110.7615,114.1179,78.8756,71.1569,63.832,74.2962,40.8106,136.0353,139.8775,51.8065,28.4936,62.1678,54.3968,124.3355,202.0453,227.9915,42.0907,105.2268,147.3176,133.2873,21.2545,48.1769,129.7798,77.1664,17.5378,80.6739,133.2873,108.7344,150.8252,96.9053,7.0151,28.0605,136.7949,87.689,19.2932,53.0619,48.2443,46.7599
1870,251.9177,98.7849,192.6375,148.2006,256.85,93.8526,345.7703,232.1421,167.9296,69.1448,444.5552,123.4927,53.0257,296.3546,222.2776,88.9203,69.1448,49.4157,34.5724,306.2657,83.9881,118.5605,212.4131,291.4224,70.8516,181.7132,101.6352,95.4843,78.3371,57.409,107.3509,107.3509,16.838,14.9671,49.5784,26.1924,31.805,18.7088,81.3834,15.9025,15.9025,16.838,21.5152,105.7049,58.9328,78.5771,11.2253,11.2253,259.1174,72.9645,72.029,36.4822,26.1924,99.0141,102.0146,70.5101,63.61,57.062,66.4164,36.4822,121.6074,125.0421,46.3119,25.4715,55.5743,48.6275,111.1485,180.6163,208.424,38.4783,96.1957,134.6739,121.8478,19.4303,44.042,118.6413,70.5435,16.0326,73.75,121.8478,99.4022,137.8805,88.5884,6.413,25.6522,125.0544,80.1631,17.6373,48.5078,44.1037,42.7467
1871,240.5284,94.3187,183.9282,141.5003,245.2376,89.6095,330.1378,221.6468,160.3374,66.0187,424.4566,117.9095,50.6284,282.9562,212.2283,84.9002,66.0187,47.1816,33.0093,292.4192,80.1909,113.2003,202.8097,278.247,67.6483,173.4978,97.0402,91.1674,74.7955,54.8135,102.4975,102.4975,15.5707,13.8406,45.8471,24.2211,29.4114,17.3008,75.2585,14.7057,14.7057,15.5707,19.8959,97.7495,54.4975,72.6634,10.3805,10.3805,239.6161,67.4731,66.6081,33.7366,24.2211,91.5623,94.3369,65.2035,58.8227,52.7675,61.4179,33.7366,112.4552,115.6314,42.8264,23.5545,51.3917,44.9678,102.7835,167.0231,202.3806,37.3626,93.4064,130.769,118.3148,18.8669,42.765,115.2013,68.4981,15.5677,71.6116,118.3148,96.52,133.8826,86.0197,6.2271,24.9084,121.4284,77.8387,17.1259,47.1013,42.8249,41.5072
1872,230.8722,90.5322,176.5443,135.8197,235.3924,86.012,316.8842,212.7487,153.9006,63.3683,407.4164,113.176,48.5958,271.5967,203.7082,81.4918,63.3683,45.2875,31.6842,280.6798,76.9716,108.6557,194.6678,267.0765,64.9326,166.5326,93.1444,87.5074,71.7927,52.613,98.3827,98.3827,15.5565,13.828,45.8051,24.1989,29.3844,17.2849,75.1895,14.6922,14.6922,15.5565,19.8777,97.6599,54.4476,72.5968,10.371,10.371,239.3965,67.4113,66.547,33.7056,24.1989,91.4784,94.2504,65.1437,58.7688,52.7191,61.3616,33.7056,112.3521,115.5254,42.7872,23.5329,51.3446,44.9265,102.6892,166.87,190.4413,35.1584,87.896,123.0544,111.3349,17.7539,40.2421,108.4051,64.4571,14.6493,67.3869,111.3349,90.8259,125.9843,80.9451,5.8597,23.4389,114.2648,73.2467,16.1156,44.3226,40.2985,39.0586
1873,231.6107,90.8219,177.109,136.2542,236.1454,86.2872,317.8979,213.4292,154.3929,63.571,408.7198,113.538,48.7513,272.4656,204.3599,81.7525,63.571,45.4323,31.7855,281.5777,77.2178,109.0033,195.2905,267.9309,65.1403,167.0653,93.4424,87.7873,72.0224,52.7813,98.6974,98.6974,14.9746,13.3108,44.0919,23.2938,28.2854,16.6385,72.3773,14.1427,14.1427,14.9746,19.1342,94.0073,52.4111,69.8815,9.9831,9.9831,230.4426,64.89,64.058,32.445,23.2938,88.0569,90.7253,62.7072,56.5707,50.7473,59.0665,32.445,108.1499,111.2045,41.1869,22.6528,49.4242,43.2462,98.8484,160.6287,179.5843,33.154,82.885,116.0391,104.9877,16.7417,37.9479,102.2249,60.7824,13.8142,63.5452,104.9877,85.6479,118.8019,76.3304,5.5257,22.1027,107.7506,69.0709,15.1968,41.7958,38.0011,36.8318
1874,223.213,87.5288,170.6874,131.3139,227.5833,83.1586,306.3716,205.6907,148.7949,61.2661,393.9004,109.4214,46.9837,262.5866,196.9502,78.7883,61.2661,43.785,30.633,271.3683,74.4181,105.0511,188.2097,258.2163,62.7784,161.0079,90.0544,84.6043,69.411,50.8675,95.1188,95.1188,14.3709,12.7741,42.3143,22.3547,27.145,15.9677,69.4594,13.5725,13.5725,14.3709,18.3628,90.2173,50.2982,67.0642,9.5806,9.5806,221.1522,62.2739,61.4755,31.137,22.3547,84.5069,87.0677,60.1791,54.2901,48.7014,56.6852,31.137,103.7899,106.7213,39.5264,21.7395,47.4317,41.5027,94.8634,154.153,175.2856,32.3604,80.901,113.2615,102.4747,16.341,37.0396,99.7779,59.3274,13.4835,62.0241,102.4747,83.5977,115.9582,74.5033,5.3934,21.5736,105.1714,67.4175,14.8331,40.7953,37.0914,35.9502
1875,217.72,85.3749,166.4871,128.0824,221.9827,81.1122,298.8322,200.629,145.1333,59.7584,384.2071,106.7287,45.8275,256.1247,192.1035,76.8495,59.7584,42.7076,29.8792,264.6903,72.5867,102.4659,183.5781,251.862,61.2335,157.0457,87.8383,82.5223,67.7029,49.6158,92.7781,92.7781,13.9528,12.4025,41.0832,21.7044,26.3553,15.5031,67.4385,13.1776,13.1776,13.9528,17.8286,87.5926,48.8348,65.1131,9.3019,9.3019,214.7181,60.4621,59.687,30.2311,21.7044,82.0482,84.5346,58.4283,52.7106,47.2845,55.036,30.2311,100.7702,103.6164,38.3764,21.107,46.0517,40.2953,92.1034,149.6681,174.4251,32.2016,80.5039,112.7055,101.9716,16.2608,36.8578,99.2881,59.0362,13.4173,61.7197,101.9716,83.1874,115.3889,74.1375,5.3669,21.4677,104.6551,67.0866,14.7603,40.5951,36.9094,35.7737
1876,216.0468,84.7188,165.2076,127.0981,220.2768,80.4888,296.5356,199.0871,144.0179,59.2991,381.2544,105.9084,45.4753,254.1563,190.6272,76.2589,59.2991,42.3793,29.6496,262.6561,72.0289,101.6785,182.1673,249.9263,60.7629,155.8388,87.1632,81.8881,67.1826,49.2345,92.0651,92.0651,13.9758,12.423,41.151,21.7402,26.3988,15.5287,67.5498,13.1994,13.1994,13.9758,17.858,87.7371,48.9154,65.2205,9.3172,9.3172,215.0724,60.5619,59.7855,30.2809,21.7402,82.1836,84.674,58.5247,52.7975,47.3625,55.1268,30.2809,100.9365,103.7873,38.4397,21.1419,46.1277,40.3617,92.2554,149.915,179.5806,33.1533,82.8834,116.0367,104.9856,16.7414,37.9472,102.2228,60.7811,13.8139,63.5439,104.9856,85.6461,118.7995,76.3288,5.5256,22.1022,107.7484,69.0695,15.1965,41.7949,38.0003,36.8311
1877,220.892,86.6187,168.9126,129.9485,225.2168,82.2939,303.1859,203.552,147.2477,60.629,389.8047,108.2836,46.4952,259.8562,194.9023,77.9691,60.629,43.3298,30.3145,268.5466,73.6443,103.9588,186.2527,255.5314,62.1257,159.3337,89.118,83.7246,68.6893,50.3386,94.1298,94.1298,14.6033,12.9807,42.9987,22.7163,27.5841,16.2259,70.5828,13.792,13.792,14.6033,18.6598,91.6765,51.1117,68.1489,9.7356,9.7356,224.729,63.2811,62.4698,31.6405,22.7163,85.8736,88.4759,61.1524,55.1681,49.4891,57.602,31.6405,105.4685,108.4473,40.1657,22.0911,48.1988,42.174,96.3976,156.6461,191.7254,35.3955,88.4887,123.8841,112.0856,17.8736,40.5135,109.136,64.8917,14.7481,67.8413,112.0856,91.4383,126.8338,81.4908,5.8992,23.597,115.0353,73.7406,16.2243,44.6215,40.5702,39.3219
1878,229.4092,89.9586,175.4256,134.9591,233.9008,85.467,314.8762,211.4006,152.9254,62.9668,404.8348,112.4588,48.2879,269.8758,202.4174,80.9754,62.9668,45.0005,31.4834,278.9013,76.4839,107.9672,193.4343,265.3842,64.5211,165.4773,92.5542,86.9529,71.3378,52.2796,97.7592,97.7592,15.3241,13.6215,45.1211,23.8376,28.9456,17.0268,74.0667,14.4728,14.4728,15.3241,19.5808,96.2016,53.6345,71.5127,10.2161,10.2161,235.8215,66.4046,65.5533,33.2023,23.8376,90.1123,92.843,64.1709,57.8912,51.9318,60.4452,33.2023,110.6744,113.8002,42.1482,23.1815,50.5779,44.2556,101.1557,164.3781,202.0408,37.2998,93.2496,130.5495,118.1162,18.8353,42.6932,115.0079,68.3831,15.5416,71.4914,118.1162,96.3579,133.6578,85.8753,6.2166,24.8666,121.2245,77.708,17.0972,47.0223,42.753,41.4376
1879,237.0519,92.9555,181.2698,139.4552,241.6931,88.3143,325.3662,218.4433,158.02,65.0645,418.3217,116.2053,49.8966,278.8665,209.1608,83.6731,65.0645,46.4997,32.5322,288.1927,79.0319,111.5641,199.8784,274.2253,66.6706,170.9901,95.6376,89.8497,73.7144,54.0213,101.0161,101.0161,15.9168,14.1482,46.866,24.7594,30.065,17.6853,76.931,15.0325,15.0325,15.9168,20.3381,99.9219,55.7086,74.2782,10.6112,10.6112,244.9412,68.9726,68.0883,34.4863,24.7594,93.5971,96.4334,66.6525,60.13,53.9401,62.7828,34.4863,114.9544,118.2011,43.7782,24.078,52.5338,45.9671,105.0676,170.7349,219.0116,40.4329,101.0823,141.5152,128.0375,20.4174,46.2793,124.6681,74.127,16.847,77.4964,128.0375,104.4517,144.8846,93.0885,6.7388,26.9553,131.407,84.2352,18.5333,50.972,46.3441,44.9182
1880,257.0141,100.7833,196.5346,151.1987,262.0462,95.7513,352.7654,236.8385,171.3269,70.5436,453.5488,125.991,54.0984,302.35,226.7744,90.7192,70.5436,50.4154,35.2718,312.4616,85.6872,120.959,216.7103,297.318,72.285,185.3893,103.6913,97.416,79.9219,58.5704,109.5227,109.5227,17.3691,15.4392,51.1424,27.0186,32.8083,19.299,83.9507,16.4042,16.4042,17.3691,22.1939,109.0394,60.7919,81.0559,11.5794,11.5794,267.2913,75.2661,74.3012,37.6331,27.0186,102.1376,105.2326,72.7343,65.6166,58.862,68.5115,37.6331,125.4436,128.9866,47.7728,26.275,57.3274,50.1614,114.6547,186.3139,235.4502,43.4677,108.6693,152.137,137.6478,21.9498,49.753,134.0255,79.6908,18.1115,83.3131,137.6478,112.2916,155.7594,100.0756,7.2446,28.9785,141.2701,90.5578,19.9244,54.7978,49.8226,48.2896
1881,272.5512,106.8759,208.4155,160.339,277.8874,101.5397,374.0908,251.1558,181.684,74.8081,480.9667,133.6075,57.3688,320.6277,240.4833,96.2034,74.8081,53.4631,37.404,331.3505,90.8672,128.2712,229.8109,315.2914,76.6547,196.5965,109.9597,103.305,84.7534,62.1111,116.1435,116.1435,18.4388,16.3901,54.2922,28.6826,34.8289,20.4876,89.1211,17.4145,17.4145,18.4388,23.5607,115.755,64.536,86.048,12.2926,12.2926,283.7534,79.9017,78.8773,39.9508,28.6826,108.4281,111.7138,77.2139,69.6579,62.4872,72.731,39.9508,133.1695,136.9307,50.7151,27.8933,60.8581,53.2508,121.7161,197.7887,244.5921,45.1555,112.8886,158.0441,142.9923,22.8021,51.6847,139.2293,82.785,18.8148,86.548,142.9923,116.6516,161.8071,103.9612,7.5259,30.1036,146.7552,94.0739,20.698,56.9255,51.7571,50.1646
1882,277.9007,108.9736,212.5062,163.4861,283.3417,103.5326,381.4333,256.0854,185.25,76.2764,490.4069,136.2298,58.4948,326.9208,245.2035,98.0916,76.2764,54.5125,38.1382,337.8541,92.6507,130.7889,234.3215,321.4799,78.1593,200.4552,112.1179,105.3326,86.4169,63.3302,118.4231,118.4231,19.1131,16.9894,56.2774,29.7314,36.1025,21.2367,92.3798,18.0512,18.0512,19.1131,24.4223,119.9876,66.8957,89.1943,12.742,12.742,294.1288,82.8233,81.7614,41.4116,29.7314,112.3927,115.7986,80.0373,72.2049,64.7721,75.3904,41.4116,138.0388,141.9375,52.5695,28.9132,63.0834,55.1979,126.1667,205.0209,246.6468,45.5348,113.837,159.3718,144.1935,22.9936,52.1189,140.399,83.4805,18.9728,87.275,144.1935,117.6316,163.1664,104.8346,7.5891,30.3565,147.9881,94.8642,20.8718,57.4037,52.1919,50.586
1883,281.2153,110.2734,215.0409,165.4361,286.7212,104.7675,385.9828,259.1399,187.4596,77.1862,496.2562,137.8547,59.1925,330.8202,248.1281,99.2616,77.1862,55.1627,38.5931,341.8839,93.7557,132.3488,237.1163,325.3143,79.0915,202.8461,113.4552,106.5889,87.4476,64.0856,119.8356,119.8356,19.1835,17.052,56.4849,29.8411,36.2356,21.3151,92.7205,18.1178,18.1178,19.1835,24.5123,120.43,67.1424,89.5232,12.789,12.789,295.2134,83.1287,82.0629,41.5643,29.8411,112.8072,116.2256,80.3324,72.4712,65.0109,75.6684,41.5643,138.5478,142.4609,52.7633,29.0198,63.316,55.4015,126.6319,205.7769,247.2016,45.6372,114.093,159.7303,144.5179,23.0454,52.2362,140.7148,83.6682,19.0155,87.4713,144.5179,117.8961,163.5334,105.0704,7.6062,30.4248,148.321,95.0775,20.9188,57.5328,52.3093,50.6998
1884,280.5544,110.0142,214.5355,165.0472,286.0473,104.5213,385.0756,258.5308,187.019,77.0048,495.0898,137.5307,59.0534,330.0426,247.5449,99.0283,77.0048,55.033,38.5024,341.0803,93.5354,132.0378,236.559,324.5497,78.9056,202.3693,113.1885,106.3384,87.2421,63.9349,119.554,119.554,18.8818,16.7838,55.5963,29.3716,35.6655,20.9797,91.2618,17.8328,17.8328,18.8818,24.1267,118.5355,66.0862,88.1149,12.5878,12.5878,290.5693,81.821,80.772,40.9105,29.3716,111.0326,114.3972,79.0687,71.3311,63.9882,74.4781,40.9105,136.3683,140.2198,51.9333,28.5633,62.3199,54.5299,124.6398,202.5398,245.0596,45.2418,113.1044,158.3462,143.2656,22.8457,51.7835,139.4954,82.9432,18.8507,86.7134,143.2656,116.8746,162.1163,104.1599,7.5403,30.1612,147.0357,94.2537,20.7375,57.0343,51.856,50.2605
1885,274.5494,107.6595,209.9436,161.5146,279.9248,102.2841,376.8335,252.9972,183.016,75.3566,484.493,134.587,57.7894,322.9784,242.2465,96.9087,75.3566,53.8551,37.6783,333.7799,91.5334,129.2116,231.4957,317.603,77.2167,198.0378,110.7659,104.0623,85.3748,62.5665,116.995,116.995,18.4985,16.4431,54.4677,28.7754,34.9415,20.5538,89.4092,17.4708,17.4708,18.4985,23.6369,116.1292,64.7446,86.3261,12.3323,12.3323,284.6706,80.16,79.1323,40.08,28.7754,108.7786,112.0749,77.4635,69.8831,62.6892,72.9661,40.08,133.5999,137.3733,50.879,27.9834,61.0548,53.423,122.1096,198.4281,240.1236,44.3305,110.8263,155.1568,140.3799,22.3855,50.7405,136.6857,81.2726,18.471,84.9668,140.3799,114.5205,158.851,102.062,7.3884,29.5537,144.0741,92.3552,20.3198,55.8855,50.8115,49.2481
1886,268.4002,105.2482,205.2414,157.8971,273.6552,99.9932,368.3934,247.3308,178.917,73.6688,473.6416,131.5726,56.4951,315.7446,236.8208,94.7382,73.6688,52.6489,36.8344,326.3041,89.4833,126.3176,226.3109,310.4896,75.4873,193.6023,108.285,101.7316,83.4626,61.1652,114.3747,114.3747,18.0565,16.0502,53.1664,28.0879,34.1068,20.0628,87.2732,17.0534,17.0534,18.0565,23.0722,113.3548,63.1978,84.2638,12.0377,12.0377,277.8698,78.2449,77.2418,39.1225,28.0879,106.1798,109.3974,75.6129,68.2135,61.1915,71.223,39.1225,130.4082,134.0914,49.6635,27.3149,59.5962,52.1467,119.1924,193.6876,236.6934,43.6972,109.2431,152.9404,138.3746,22.0657,50.0157,134.7332,80.1116,18.2072,83.7531,138.3746,112.8846,156.5818,100.604,7.2829,29.1315,142.016,91.0359,20.0296,55.0872,50.0857,48.5446
1887,262.9264,103.1017,201.0556,154.6768,268.0741,97.9539,360.8802,242.2866,175.268,72.1663,463.982,128.8893,55.3429,309.3051,231.991,92.8061,72.1663,51.5751,36.0832,319.6493,87.6583,123.7415,221.6954,304.1573,73.9478,189.6539,106.0766,99.6569,81.7604,59.9177,112.0421,112.0421,17.4871,15.5441,51.4898,27.2022,33.0312,19.4301,84.521,16.5156,16.5156,17.4871,22.3446,109.7802,61.2049,81.6065,11.6581,11.6581,269.1071,75.7775,74.806,37.8887,27.2022,102.8314,105.9475,73.2284,66.0624,59.2619,68.9769,37.8887,126.2958,129.8628,48.0973,26.4535,57.7168,50.5022,115.4336,187.5796,239.8157,44.2737,110.6841,154.9578,140.1999,22.3568,50.6754,136.5104,81.1684,18.4474,84.8579,140.1999,114.3736,158.6473,101.9311,7.3789,29.5158,143.8894,92.2368,20.2938,55.8138,50.7464,49.185
1888,260.4777,102.1415,199.1831,153.2363,265.5775,97.0416,357.5193,240.0301,173.6357,71.4942,459.6608,127.6889,54.8275,306.4245,229.8304,91.9418,71.4942,51.0948,35.7471,316.6723,86.8419,122.589,219.6307,301.3246,73.2591,187.8876,105.0887,98.7287,80.999,59.3597,110.9986,110.9986,17.0696,15.173,50.2605,26.5527,32.2426,18.9662,82.503,16.1213,16.1213,17.0696,21.8111,107.1591,59.7436,79.6581,11.3797,11.3797,262.6821,73.9682,73.0199,36.9841,26.5527,100.3763,103.418,71.4801,64.4851,57.8469,67.3301,36.9841,123.2804,126.7623,46.949,25.8219,56.3388,49.2964,112.6776,183.1011,259.1507,47.8432,119.608,167.4513,151.5035,24.1593,54.7611,147.5166,87.7126,19.9347,91.6995,151.5035,123.595,171.4382,110.1492,7.9739,31.8955,155.4904,99.6734,21.93,60.3138,54.8378,53.1505
1889,283.4449,111.1477,216.7458,166.7477,288.9944,105.5981,389.043,261.1944,188.9458,77.7981,500.1907,138.9477,59.6618,333.443,250.0953,100.0486,77.7981,55.6,38.8991,344.5944,94.4991,133.3981,238.9963,327.8935,79.7186,204.4543,114.3547,107.434,88.1409,64.5937,120.7857,120.7857,18.0817,16.0726,53.2405,28.127,34.1543,20.0907,87.3947,17.0771,17.0771,18.0817,23.1044,113.5127,63.2858,84.3811,12.0544,12.0544,278.2568,78.3539,77.3494,39.1769,28.127,106.3277,109.5498,75.7182,68.3085,61.2768,71.3221,39.1769,130.5898,134.2782,49.7327,27.353,59.6792,52.2193,119.3584,193.9574,277.7426,51.2756,128.1889,179.4645,162.3726,25.8926,58.6898,158.0997,94.0052,21.3648,98.2782,162.3726,132.4619,183.7374,118.0515,8.5459,34.1837,166.6456,106.8241,23.5032,64.6408,58.7719,56.9636
